,     <HIST> , SNY03                  , SMMU-2      , SWITCH    , 2017-07-09  02:58:43.42, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 29 27 16 11 FF FF 
,     <HIST> , SNY03                  , SMMU-2      , SWITCH    , 2017-07-09  09:13:54.53, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 10 53 54 54 65 FF FF 
,     <HIST> , SNX05                  , SMMU-3      , SWITCH    , 2017-07-09  04:38:34.08, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 36 29 72 55 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:32:46.40, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6201, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:33:43.75, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6201, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:34:38.61, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6202, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:35:39.01, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6202, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:39:02.91, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6204, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:40:04.65, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6204, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:44:34.09, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6205, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:44:54.54, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6205, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-3      , SWITCH    , 2017-07-09  10:45:50.07, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 40 00 24 99 83 FF FF 
,     <HIST> , SNW04                  , SMMU-3      , SWITCH    , 2017-07-09  00:55:56.49, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 65 14 67 42 FF FF 
,     <HIST> , SNW04                  , SMMU-1      , SWITCH    , 2017-07-09  07:19:57.66, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 61 16 43 79 FF FF 
,     <HIST> , SNW04                  , SMMU-2      , SWITCH    , 2017-07-09  13:14:24.41, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 10 51 77 41 39 FF FF 
,     <HIST> , SNW04                  , SMMU-2      , SWITCH    , 2017-07-09  18:51:04.95, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0F 97 85 36 89 89 13 15 02 9F FF 
,     <HIST> , SNW04                  , SMMU-3      , SWITCH    , 2017-07-10  00:33:33.69, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 20 76 83 67 75 FF FF 
,     <HIST> , SNW04                  , SMMU-1      , SWITCH    , 2017-07-10  06:53:31.31, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 21 45 28 14 FF FF 
,     <HIST> , SNW04                  , SMMU-3      , SWITCH    , 2017-07-10  12:46:29.56, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 10 58 42 47 91 FF FF 
,     <HIST> , SNW04                  , SMMU-3      , SWITCH    , 2017-07-10  18:25:08.90, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 38 08 64 78 FF FF 
,     <HIST> , SNW04                  , SMMU-1      , SWITCH    , 2017-07-11  00:52:30.23, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 38 41 48 79 FF FF 
,     <HIST> , SNW04                  , SMMU-3      , SWITCH    , 2017-07-11  07:23:54.27, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 67 13 66 27 FF FF 
,     <HIST> , SNX05                  , SMMU-3      , SWITCH    , 2017-07-09  04:38:34.08, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 36 29 72 55 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:32:46.40, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6201, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:33:43.75, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6201, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:34:38.61, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6202, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:35:39.01, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6202, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:39:02.91, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6204, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:40:04.65, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6204, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:44:34.09, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6205, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  05:44:54.54, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6205, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-3      , SWITCH    , 2017-07-09  10:45:50.07, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 40 00 24 99 83 FF FF 
,     <HIST> , SNX05                  , SMMU-1      , SWITCH    , 2017-07-09  16:29:42.89, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 13 33 23 47 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:15.22, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6329, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:18.13, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6329, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:23.15, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6330, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:34:39.19, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6330, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:37:27.78, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6331, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-09  16:37:32.93, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6331, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0E 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-2      , SWITCH    , 2017-07-09  21:48:53.76, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 22 32 83 31 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:08:05.23, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6474, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:09:05.54, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6474, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:09:44.04, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6475, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:10:37.72, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6475, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:13:17.76, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6476, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:14:10.25, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6476, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:19:31.59, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6478, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:20:30.86, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6478, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:40:35.22, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6482, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:41:37.73, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6482, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:42:09.58, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6483, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:43:02.52, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6483, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:46:00.02, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6485, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  03:47:01.36, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6485, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-2      , SWITCH    , 2017-07-10  03:50:34.57, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 20 62 40 79 07 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  04:01:21.36, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6488, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  04:02:14.73, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6488, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , SMMU-3      , SWITCH    , 2017-07-10  09:53:50.88, *   , DISTUR , ........    ,                       , MTA_IX                           , 3152, 1575 COMPONENT NOT ACCEPTED BY REMOTE END                            ,     24 17 06 00 0E 97 84 91 21 65 09 42 52 FF FF 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:39:42.62, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6579, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:40:34.41, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6579, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:47:18.40, *   , ALARM  , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6582, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
,     <HIST> , SNX05                  , IPPU-6      , SWITCH    , 2017-07-10  14:48:07.86, .   , CANCEL , IPPU-6      , 1A003-00-10           , GLP_GX                           , 6582, 3152 LIB CONNECTION FAILURE                                          ,     C0 11 13 0D 00 00 00 00 00 00 00 00 00 00 00 00 
